127.0.0.1 - - [27/May/2020:17:50:42 +0900] "GET / HTTP/1.1" 404 750
0:0:0:0:0:0:0:1 - - [27/May/2020:20:51:29 +0900] "GET /MyBatisBasic_200521/sistADD/adminIndex.jsp HTTP/1.1" 200 7555
0:0:0:0:0:0:0:1 - - [27/May/2020:20:51:29 +0900] "GET /MyBatisBasic_200521/sistADD/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2020:20:51:29 +0900] "GET /MyBatisBasic_200521/sistADD/css/fonts.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2020:20:51:29 +0900] "GET /MyBatisBasic_200521/sistADD/css/style.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2020:20:51:29 +0900] "GET /MyBatisBasic_200521/sistADD/images/logo-inverse-208x46.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2020:20:51:29 +0900] "GET /MyBatisBasic_200521/sistADD/js/script.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2020:20:51:29 +0900] "GET /MyBatisBasic_200521/sistADD/images/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2020:20:51:29 +0900] "GET /MyBatisBasic_200521/sistADD/js/core.min.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2020:20:51:29 +0900] "GET /MyBatisBasic_200521/sistADD/fonts/materialdesignicons-webfont.woff2?v=1.4.57 HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/May/2020:20:51:36 +0900] "GET /MyBatisBasic_200521/sistADD/admin/member.jsp HTTP/1.1" 200 6540
0:0:0:0:0:0:0:1 - - [27/May/2020:20:51:42 +0900] "GET /MyBatisBasic_200521/sistADD/admin/office.jsp HTTP/1.1" 200 7177
